,year,winner,team_one,team_two,score_one,score_two
219,2007,Kansas,Kansas,Southern Illinois,61,58
220,2003,Maryland,Xavier,Maryland,64,77
221,2003,Maryland,Maryland,UNC Wilmington,75,73
222,2003,Arizona,Arizona,Vermont,80,51
223,2003,Arizona,Arizona,Gonzaga,95,2
224,2003,Arizona,Arizona,Notre Dame,88,71
225,2003,Kansas,Arizona,Kansas,75,78
226,2003,Kansas,Kansas,Marquette,94,61
227,2003,Gonzaga,Cincinnati,Gonzaga,69,74
228,2003,Illinois,Illinois,Western Kentucky,65,60
229,2003,Notre Dame,Illinois,Notre Dame,60,68
230,2011,Ohio State,Ohio State,UTSA,75,46
231,2011,Ohio State,Ohio State,George Mason,98,66
232,2011,Kentucky,Ohio State,Kentucky,60,62
233,2011,Kentucky,Kentucky,North Carolina,76,69
234,2011,Connecticut,Kentucky,Connecticut,55,56
235,2011,Connecticut,Connecticut,Butler,53,41
236,2011,UTSA,UTSA,Alabama State,70,61
237,2011,George Mason,George Mason,Villanova,61,57
238,2005,Villanova,Florida,Villanova,65,76
239,2005,Villanova,Villanova,New Mexico,55,47
240,2005,Connecticut,Connecticut,UCF,77,71
241,2005,NC State,Connecticut,NC State,62,65
242,2005,Wisconsin,NC State,Wisconsin,56,65
243,2005,NC State,Charlotte,NC State,63,75
244,2005,Bucknell,Kansas,Bucknell,63,64
245,2005,Wisconsin,Bucknell,Wisconsin,62,71
246,2008,Oklahoma,Oklahoma,Saint Joseph's,72,64
247,2008,Kansas,Kansas,Portland State,85,61
248,2008,Kansas,Kansas,UNLV,75,56
249,2008,Kansas,Kansas,Villanova,72,57
250,2008,Kansas,Kansas,Davidson,59,57
251,2008,UNLV,UNLV,Kent State,71,58
252,2008,Siena,Vanderbilt,Siena,62,83
253,2008,Villanova,Siena,Villanova,72,84
254,2008,Villanova,Clemson,Villanova,69,75
255,2010,Cornell,Temple,Cornell,65,78
256,2010,West Virginia,West Virginia,Morgan State,77,50
257,2010,West Virginia,West Virginia,Missouri,68,59
258,2010,West Virginia,West Virginia,Washington,69,56
259,2010,Missouri,Clemson,Missouri,78,86
260,2010,New Mexico,New Mexico,Montana,62,57
261,2010,Washington,New Mexico,Washington,64,82
262,2010,Washington,Marquette,Washington,78,80
263,2012,Kentucky,Kentucky,Western Kentucky,81,66
264,2012,Kentucky,Kentucky,Iowa State,87,71
265,2012,Kentucky,Kentucky,Indiana,10,90
266,2012,Kentucky,Kentucky,Baylor,82,70
267,2012,Kentucky,Kentucky,Louisville,69,61
268,2012,Kentucky,Kentucky,Kansas,67,59
269,2012,Western Kentucky,Western Kentucky,Mississippi Valley State,59,58
270,2012,Iowa State,Iowa State,Connecticut,77,64
271,2009,Duke,Duke,Texas,74,69
272,2009,Villanova,Duke,Villanova,54,77
273,2009,Texas,Texas,Minnesota,76,62
274,2009,Villanova,Villanova,American,80,67
275,2009,Villanova,Villanova,UCLA,89,69
276,2009,UCLA,UCLA,VCU,65,64
277,2013,Louisville,Louisville,North Carolina A&T,79,48
278,2013,Louisville,Louisville,Colorado State,83,55
279,2013,Louisville,Louisville,Oregon,77,69
280,2013,Louisville,Louisville,Duke,85,63
281,2013,Louisville,Louisville,Wichita State,72,68
