,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
154,45.7,8.2,.484,.409,.257,.345,33,19,12,6,12,100.1,2514,29.0,72.8,2416,Louisiana,-0.67,-4.60,8.2,16.8,49.3,.526,.424,14,8,10,3
155,51.5,9.4,.478,.346,.222,.325,29,20,15,8,12,94.9,1956,27.0,66.2,1831,Louisiana-Monroe,-0.16,-6.50,6.7,18.0,49.2,.510,.310,9,5,7,2
156,44.9,10.6,.527,.343,.272,.354,31,10,6,2,6,112.8,2271,35.1,70.8,2495,Louisiana State,7.20,14.43,8.8,15.1,54.3,.568,.677,21,12,15,5
157,48.8,7.4,.537,.399,.194,.290,30,8,5,1,7,108.2,1910,30.3,68.2,2235,Louisiana Tech,-1.48,7.06,10.8,15.7,51.9,.557,.733,22,13,15,7
158,53.5,7.9,.525,.380,.236,.322,31,7,5,1,5,109.4,1974,32.0,67.1,2296,Louisville,7.55,17.94,7.5,15.4,54.5,.557,.774,24,15,17,6
159,56.9,5.4,.554,.312,.252,.387,32,11,5,2,6,103.4,2007,21.4,65.7,2198,Loyola (IL),0.54,5.70,11.9,17.7,49.7,.574,.656,21,13,14,5
160,49.5,7.4,.518,.347,.236,.347,32,21,12,9,9,98.9,2168,27.5,64.7,2057,Loyola Marymount,3.88,-1.09,9.0,19.3,50.6,.546,.344,11,4,7,2
161,59.6,8.0,.525,.372,.267,.419,32,17,11,4,13,102.2,2394,25.9,71.3,2348,Loyola (MD),-7.23,-9.59,9.4,17.0,49.2,.549,.469,15,7,9,5
162,62.1,11.4,.468,.432,.189,.266,31,22,11,7,15,92.1,2109,28.5,66.2,1904,Maine,-3.71,-11.88,10.4,19.6,50.4,.499,.290,9,5,5,3
163,58.0,11.7,.457,.398,.212,.341,31,18,12,6,11,92.8,1991,30.1,66.3,1924,Manhattan,-6.26,-8.42,10.5,17.9,49.2,.485,.419,13,8,7,5
164,49.3,9.9,.459,.400,.193,.297,30,23,14,10,12,90.5,1970,25.9,65.5,1816,Marist,-7.08,-12.22,10.2,18.4,49.3,.487,.233,7,6,4,3
165,53.5,10.6,.516,.446,.291,.392,30,12,10,3,8,107.2,2149,29.8,71.4,2333,Marquette,9.30,15.44,7.1,16.4,53.2,.557,.600,18,8,13,3
166,50.6,14.3,.503,.386,.192,.290,32,15,8,6,9,100.1,2339,27.9,75.5,2429,Marshall,-0.05,1.70,10.7,17.0,48.5,.526,.531,17,10,10,5
167,49.9,7.8,.505,.392,.214,.332,33,17,8,5,10,100.1,2207,26.1,68.0,2255,Maryland-Baltimore County,-4.43,-8.08,7.9,16.3,49.9,.529,.485,16,8,11,5
168,52.4,9.3,.412,.399,.162,.256,32,27,12,6,20,82.0,2278,26.1,69.6,1841,Maryland-Eastern Shore,-6.45,-22.03,11.0,18.5,46.2,.439,.156,5,4,4,1
169,55.0,11.8,.486,.431,.282,.377,31,7,6,1,6,106.0,1999,31.5,67.7,2226,Maryland,10.50,17.82,6.8,14.3,52.9,.532,.774,24,14,16,5
170,55.1,6.7,.519,.358,.268,.376,32,19,9,9,10,104.0,2433,27.5,70.9,2388,Massachusetts-Lowell,-5.35,-8.19,9.6,16.6,49.2,.554,.406,13,7,8,5
171,54.4,8.2,.492,.402,.210,.299,31,17,10,5,9,98.2,2207,25.7,69.2,2124,Massachusetts,3.79,1.12,9.8,16.7,47.3,.522,.452,14,8,11,3
172,57.3,10.3,.570,.368,.245,.338,32,17,10,5,11,109.7,2390,31.7,71.8,2540,McNeese State,-6.93,-9.11,9.1,19.3,52.3,.597,.469,15,10,10,5
173,56.5,15.3,.497,.352,.271,.399,31,10,8,3,6,97.7,2012,30.0,73.1,2232,Memphis,5.07,12.16,10.6,19.6,52.2,.532,.677,21,10,15,5
174,54.4,7.6,.515,.364,.188,.260,32,15,7,6,6,101.9,2248,31.1,70.4,2294,Mercer,-2.70,-3.13,9.4,17.9,53.2,.542,.531,17,11,9,8
