,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
154,155.0,130,South Alabama,SB,20-11,1.05,104.9,103.9,65.3,0.063,-1.01,102.0,103.1,-0.54
155,156.0,83,Western Carolina,SC,19-12,1.04,107.3,106.3,71.5,0.049,-0.93,102.2,103.2,-1.67
156,157.0,127,Fresno St.,MWC,11-19,1.03,105.1,104.1,64.2,-0.117,2.92,105.2,102.3,0.4
157,158.0,114,Towson,CAA,19-13,0.87,105.7,104.8,65.1,0.014,-2.19,102.5,104.7,0.97
158,159.0,166,Boston University,Pat,21-13,0.78,103.3,102.6,66.3,0.002,-4.98,100.6,105.6,0.04
159,160.0,106,UC Santa Barbara,BW,21-10,0.76,106.1,105.3,64.5,0.022,-4.63,100.0,104.7,-2.9
160,161.0,240,Southern Utah,BSky,17-15,0.7,98.8,98.1,69.3,-0.063,-1.85,101.9,103.8,2.51
161,162.0,190,Nebraska,B10,7-25,0.64,102.0,101.3,73.1,-0.047,11.96,108.1,96.1,-1.05
162,163.0,189,Drake,MVC,20-14,0.62,102.0,101.3,67.9,0.065,0.39,102.9,102.5,-5.3
163,164.0,247,Charlotte,CUSA,16-13,0.45,98.5,98.0,65.5,0.008,-1.31,102.0,103.3,-5.42
164,165.0,174,Massachusetts,A10,14-17,0.43,102.9,102.5,68.6,0.012,4.2,103.6,99.4,1.15
165,166.0,31,North Florida,ASun,21-12,0.37,112.0,111.6,69.4,0.034,-4.23,99.8,104.1,6.98
166,167.0,161,Ohio,MAC,17-15,0.36,103.6,103.3,68.0,-0.01,-0.67,102.2,102.9,-1.18
167,168.0,146,Bowling Green,MAC,21-10,0.33,104.3,104.0,70.1,0.142,-0.24,102.3,102.5,-2.44
168,169.0,139,Vanderbilt,SEC,11-21,0.14,104.7,104.5,69.4,-0.061,5.97,105.9,100.0,-5.62
169,170.0,129,Charleston,CAA,17-14,0.08,105.0,104.9,65.9,-0.004,-1.32,102.8,104.2,3.69
170,171.0,249,Old Dominion,CUSA,13-19,-0.02,98.3,98.3,66.4,-0.091,0.03,102.3,102.2,1.39
171,172.0,90,Austin Peay,OVC,21-12,-0.02,106.9,107.0,67.8,0.032,-5.29,100.1,105.4,3.47
172,173.0,57,Portland St.,BSky,18-14,-0.03,108.8,108.8,71.8,-0.0,-1.81,101.5,103.3,0.3
173,174.0,197,George Mason,A10,17-15,-0.04,101.3,101.3,67.0,0.056,0.32,102.4,102.0,-6.46
174,175.0,220,Appalachian St.,SB,18-15,-0.27,99.9,100.2,67.2,0.041,0.64,103.1,102.4,1.61
175,176.0,81,St. Francis PA,NEC,22-10,-0.32,107.6,107.9,68.9,0.037,-6.85,99.0,105.9,0.03
176,177.0,63,South Dakota,Sum,20-12,-0.36,108.6,108.9,70.0,0.011,-3.99,101.4,105.4,-2.78
177,178.0,252,Southern Illinois,MVC,16-16,-0.41,98.2,98.6,64.2,-0.002,0.28,102.8,102.5,-3.73
178,179.0,228,Boston College,ACC,13-19,-0.68,99.6,100.3,69.3,0.065,8.02,106.0,97.9,-1.74
179,180.0,116,Delaware,CAA,22-11,-0.78,105.6,106.4,68.3,0.074,-4.18,101.4,105.6,-5.78
180,181.0,226,La Salle,A10,15-15,-0.81,99.6,100.4,69.1,0.057,1.36,102.8,101.5,-3.54
181,182.0,222,Northern Illinois,MAC,18-13,-1.03,99.8,100.8,64.8,0.044,-2.25,101.7,104.0,-5.93
182,183.0,268,Sacramento St.,BSky,16-14,-1.1,97.1,98.2,63.9,-0.026,-2.36,101.7,104.1,-0.32
183,184.0,239,Abilene Christian,Slnd,20-11,-1.14,99.1,100.2,68.4,-0.023,-7.05,99.6,106.6,5.58
184,185.0,192,Tulane,Amer,12-18,-1.15,101.9,103.1,68.7,-0.014,3.24,102.8,99.6,-5.36
185,186.0,118,Radford,BSth,21-11,-1.17,105.6,106.8,64.3,0.026,-5.96,100.9,106.8,7.52
186,187.0,204,Rider,MAAC,18-12,-1.19,100.9,102.1,71.1,0.036,-5.29,98.3,103.6,-0.94
187,188.0,273,UTEP,CUSA,17-15,-1.28,96.9,98.2,67.5,-0.005,-0.61,101.7,102.4,1.55
188,189.0,205,UAB,CUSA,19-13,-1.32,100.8,102.1,65.7,0.048,-2.46,100.1,102.6,-5.65
189,190.0,134,Coastal Carolina,SB,16-17,-1.33,104.8,106.2,72.8,-0.033,-0.29,102.3,102.6,-3.87
190,191.0,225,Florida Atlantic,CUSA,17-15,-1.66,99.7,101.3,68.8,-0.001,-1.38,101.4,102.7,-3.81
191,192.0,260,Stony Brook,AE,20-13,-1.74,97.7,99.4,69.8,0.021,-4.66,99.2,103.8,1.61
192,193.0,223,Nicholls St.,Slnd,21-10,-1.82,99.7,101.5,68.7,0.05,-6.25,99.9,106.2,11.95
193,194.0,300,Saint Peter's,MAAC,18-12,-1.98,95.4,97.3,68.0,0.023,-5.99,99.1,105.1,-3.63
194,195.0,167,William & Mary,CAA,21-11,-2.17,103.3,105.5,67.5,0.132,-3.09,102.2,105.3,-1.14
195,196.0,318,Eastern Michigan,MAC,16-16,-2.34,94.2,96.6,66.8,0.028,1.46,103.7,102.2,3.13
196,197.0,76,Air Force,MWC,12-20,-2.49,107.8,110.3,68.8,-0.059,2.4,103.9,101.5,-3.0
197,198.0,216,Mercer,SC,17-15,-2.61,100.1,102.7,68.1,0.014,-2.16,101.8,104.0,-4.91
198,199.0,110,Rice,CUSA,15-17,-2.62,105.8,108.4,70.1,-0.004,-0.91,101.7,102.6,-0.86
199,200.0,185,Sacred Heart,NEC,20-13,-2.64,102.2,104.8,68.7,0.019,-7.26,99.3,106.5,-3.97
200,201.0,238,Monmouth,MAAC,18-13,-2.72,99.1,101.8,72.6,0.061,-5.21,98.7,103.9,-1.21
201,202.0,124,Cal Baptist,WAC,21-10,-2.73,105.3,108.1,68.6,0.029,-7.75,98.5,106.2,-6.96
202,203.0,202,American,Pat,16-14,-2.88,101.1,104.0,68.7,-0.033,-6.03,100.2,106.2,-3.0
203,204.0,280,Illinois Chicago,Horz,18-17,-3.14,96.4,99.5,69.5,-0.004,-4.74,100.1,104.9,-0.51
204,205.0,276,Dartmouth,Ivy,12-17,-3.18,96.7,99.9,65.8,-0.081,-1.62,101.1,102.7,-2.54
205,206.0,148,Arkansas St.,SB,16-16,-3.29,104.2,107.5,67.3,0.042,-0.47,102.4,102.8,-0.17
206,207.0,212,Robert Morris,NEC,20-14,-3.29,100.5,103.8,66.1,0.027,-6.38,99.7,106.1,1.65
207,208.0,261,Hawaii,BW,17-13,-3.34,97.6,101.0,68.4,0.029,-4.49,100.9,105.4,-3.06
208,209.0,209,Loyola Marymount,WCC,11-21,-3.42,100.6,104.0,63.0,-0.022,3.4,105.0,101.6,-2.23
209,210.0,149,UTSA,CUSA,13-19,-3.84,104.2,108.0,72.8,-0.047,0.33,101.6,101.3,1.42
210,211.0,294,UC Riverside,BW,17-15,-3.97,95.8,99.8,63.2,-0.029,-4.74,100.5,105.2,-3.9
211,212.0,229,Sam Houston St.,Slnd,18-13,-4.13,99.5,103.7,71.1,-0.028,-5.71,100.1,105.9,4.54
212,213.0,282,Prairie View A&M,SWAC,19-13,-4.16,96.3,100.5,70.7,-0.001,-7.97,96.3,104.3,9.36
213,214.0,200,Seattle,WAC,14-15,-4.34,101.2,105.5,69.9,-0.051,-4.72,100.1,104.8,-2.76
214,215.0,179,Northern Arizona,BSky,16-14,-4.35,102.3,106.7,66.6,0.071,-2.0,101.9,103.9,0.29
215,216.0,187,Central Michigan,MAC,14-18,-4.4,102.0,106.4,73.6,-0.036,0.65,102.7,102.0,1.94
216,217.0,227,East Carolina,Amer,11-20,-4.42,99.6,104.0,70.6,-0.01,1.25,101.5,100.3,-9.14
